date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:11	44/44	---M-Z	200	added ('OK')	text/plain	etag:W/%225d0eb8be-18%22	https://rajvaya.devfolio.me/robots.txt		(from )
11:41:11	42964/42964	---MC-	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202019%2006:11:12%20GMT	https://rajvaya.devfolio.me/	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/index.html	(from )
11:41:11	46/46	---M--	302	error ('Found')	text/html	date:Tue,%2012%20Nov%202019%2006:11:12%20GMT	https://rajvaya.devfolio.me/devfolio.me	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/devfolio.me	(from https://rajvaya.devfolio.me/)
11:41:12	46/46	---M--	302	error ('Found')	text/html	date:Tue,%2012%20Nov%202019%2006:11:13%20GMT	https://rajvaya.devfolio.me/devfolio.me	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/devfolio.me	(from https://rajvaya.devfolio.me/)
11:41:13	119445/119445	---M--	200	added ('OK')	image/jpeg	etag:%22bef9ce0ff0ad4cb7a26c017a812bad48%22	https://firebasestorage.googleapis.com/v0/b/devfolio-me.appspot.com/o/Devfolio%2FShare.jpg?alt=media&token=07a40156-4d2a-4397-8297-3a851a8197ca	C:/Users/admin/Desktop/raj/raj/apnadevfolio/firebasestorage.googleapis.com/v0/b/devfolio-me.appspot.com/o/Devfolio/Sharedc17.jpg	(from https://rajvaya.devfolio.me/)
11:41:13	260/260	---M-Z	200	added ('OK')	application/json	etag:W/%22104-R7SNu6SZ5btkoIzQZoNrCXIZRWs%22	https://rajvaya.devfolio.me/manifest.json	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/manifest.json	(from https://rajvaya.devfolio.me/)
11:41:13	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%225d0eb8be-3aee%22	https://rajvaya.devfolio.me/favicons/favicon.ico	C:/Users/admin/Desktop/raj/raj/apnadevfolio/rajvaya.devfolio.me/favicons/favicon.ico	(from https://rajvaya.devfolio.me/)
11:41:14	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%221544639651%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://rajvaya.devfolio.me/)
11:41:15	53741/53741	---MCZ	200	added ('OK')	text/css	etag:W/%22ae4d052bb6a9986bcd0634b812200894%22	https://use.fontawesome.com/releases/v5.6.0/css/all.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/use.fontawesome.com/releases/v5.6.0/css/all.css	(from https://rajvaya.devfolio.me/)
11:41:15	1290/1290	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad6-50a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.css	C:/Users/admin/Desktop/raj/raj/apnadevfolio/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.css	(from https://rajvaya.devfolio.me/)
